,ID,NAME,Lat,Lon,ELEVATION,State
890896,USC00417530,"REFUGIO 3 SW, TX US",28.2939,-97.3297,16.5,TX
898346,USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",27.74131,-98.02507,52.0,TX
899146,USW00012974,"ORANGE GROVE, TX US",27.89469,-98.04252,71.0,TX
899346,USC00410144,"ALICE, TX US",27.72833,-98.06778,61.3,TX
900063,US1TXJW0003,"ORANGE GROVE 8.1 WNW, TX US",27.991733,-98.065256,88.1,TX
900906,US1TXJW0004,"ORANGE GROVE 2.6 NNW, TX US",27.988818,-97.960364,65.8,TX
901040,USC00418187,"SEGUIN 1 SSW, TX US",29.552,-97.9704,153.9,TX
901046,US1TXJW0005,"ORANGE GROVE 4.3 SW, TX US",27.91,-97.9875,61.6,TX
908016,USW00012987,"EDINBURG 17 NNE, TX US",26.5258,-98.0633,19.5,TX
908021,US1TXGP0019,"MCQUEENEY 3.1 SSW, TX US",29.554838,-98.059169,185.3,TX
908031,US1TXWO0054,"LA VERNIA 3.0 E, TX US",29.347053,-98.064753,142.6,TX
908036,USC00412070,"COY CITY NEAR SOIL CONSERVATION SERVICE NUMBER 2, TX US",28.816667,-98.05,121.9,TX
908046,US1TXLO0011,"GEORGE WEST 2.9 E, TX US",28.327166,-98.075126,40.8,TX
908346,US1TXHDL060,"MCALLEN 4.7 NNW, TX US",26.279411,-98.265646,45.4,TX
908546,USC00415701,"MCALLEN, TX US",26.19222,-98.25028,33.5,TX
908560,USC00411720,"CHOKE CANYON DAM, TX US",28.4675,-98.2525,70.1,TX
908566,US1TXLO0008,"CLEGG 0.1 S, TX US",28.11953364,-98.26175151,98.1,TX
908656,US1TXHDL004,"MCALLEN 2.6 NW, TX US",26.2465,-98.264,42.1,TX
908666,USC00414139,"HIDALGO, TX US",26.1,-98.26667,31.1,TX
908674,USC00419716,"WHITSETT 3 SW, TX US",28.63333,-98.26667,64.0,TX
908747,USC00413156,"FISCHERS STORE, TX US",29.9745,-98.267,359.7,TX
910276,USC00419009,"THREE RIVERS, TX US",28.46667,-98.18333,45.7,TX
918276,US1TXLO0016,"GEORGE WEST 11.3 S, TX US",28.16765,-98.09258333,77.7,TX
921336,US1TXJW0007,"ORANGE GROVE 6.7 WSW, TX US",27.90283611,-98.03125556,68.9,TX
921466,US1TXLO0018,"GEORGE WEST 4.3 E, TX US",28.33747,-98.04679,52.1,TX
921514,US1TXLO0012,"GEORGE WEST 8.0 NE, TX US",28.411202,-98.023198,81.1,TX
921516,USC00412917,"ENGLEMAN GARDENS, TX US",26.33333,-98.01667,21.0,TX
921521,US1TXHYS060,"DRIFTWOOD 5.0 S, TX US",30.0506,-98.0187,312.4,TX
928276,USC00413508,"GEORGE WEST 2 SSW, TX US",28.3063,-98.1222,68.6,TX
958472,US1TXLO0002,"GEORGE WEST 0.1 WSW, TX US",28.329628,-98.119816,47.9,TX
959172,USR0000TGEO,"GEORGE WEST TEXAS, TX US",28.3667,-98.1167,65.5,TX
959272,US1TXLO0009,"GEORGE WEST 2.7 NNW, TX US",28.363792,-98.140485,50.9,TX
970682,USC00413063,"FALFURRIAS, TX US",27.1354,-98.1202,42.4,TX
970688,US1TXCML237,"NEW BRAUNFELS 1.6 S, TX US",29.6809199,-98.1206432,201.8,TX
970699,US1TXWO0023,"LA VERNIA 0.5 SW, TX US",29.349824,-98.121494,152.4,TX
970781,USC00419007,"THREE RIVERS 9 NE, TX US",28.5806,-98.1186,100.0,TX
970929,US1TXLO0013,"THREE RIVERS 8.6 NNE, TX US",28.5804,-98.118,97.8,TX
971272,US1TXJW0015,"PREMONT 0.9 WSW, TX US",27.35256,-98.137676,53.0,TX
971275,US1TXGP0072,"MARION 0.2 E, TX US",29.5734290778637,-98.1388729065657,197.5,TX
971288,US1TXWO0045,"LA VERNIA 3.6 SSW, TX US",29.308983,-98.144898,210.9,TX
971372,US1TXWO0053,"FALLS CITY 8.3 WSW, TX US",28.95385,-98.15503,124.1,TX
993268,US1TXLO0005,"CHOKE CANYON DAM NORTH SIDE, TX US",28.4673,-98.2462,71.9,TX
1002138,US1TXNU0017,"DRISCOLL 0.6 W, TX US",27.67311,-97.7599,20.1,TX
1002210,USC00418231,"SHAEFFER RANCH, TX US",27.66667,-97.75,57.9,TX
1002222,USC00412587,"DRISCOLL, TX US",27.67222,-97.75222,19.2,TX
1002233,US1TXBEE009,"BEEVILLE 0.2 NNE, TX US",28.4086059,-97.7480317,67.4,TX
1002568,US1TXNU0100,"ROBSTOWN 4.9 NNW, TX US",27.86827,-97.67932,18.3,TX
1003336,US1TXKS0005,"RUNGE 2.3 NNW, TX US",28.916533,-97.728621,88.7,TX
1003338,USC00417836,"RUNGE, TX US",28.8297,-97.7133,89.9,TX
1004540,USC00410639,"BEEVILLE 5 NE, TX US",28.4575,-97.7061,77.7,TX
1005437,US1TXBEE018,"BEEVILLE 9.0 S, TX US",28.2751067,-97.7600733,57.0,TX
1027068,US1TXNU0086,"ROBSTOWN 12.7 WNW, TX US",27.88456,-97.84523,32.0,TX
1028081,US1TXNU0033,"BANQUETE 0.4 S, TX US",27.801252,-97.79711,24.4,TX
1028089,USC00410511,"BANQUETE, TX US",27.8,-97.8,22.9,TX
1028105,US1TXSP0015,"MATHIS 7.5 SSE, TX US",27.9882203,-97.7935211,17.1,TX
1028470,US1TXSP0008,"MATHIS 2.6 NW, TX US",28.119119,-97.856813,32.3,TX
1029326,US1TXLO0017,"MATHIS 11.6 NW, TX US",28.226289,-97.939939,29.3,TX
1029387,USC00411304,"CADIZ, TX US",28.43333,-97.95,107.0,TX
1029507,USC00418186,"SEGUIN, TX US",29.58333,-97.95,156.1,TX
